               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.094569,             0.16254,            0.023751,             0.48909,             0.34118,             0.34588,             0.18786,            0.092296,             0.23488,            0.029811,           0.0075848,           0.0075848,           0.0075848
                 106,            0.094003,             0.16174,            0.023612,             0.47937,             0.34524,             0.34518,             0.18746,            0.092279,             0.23485,            0.029829,            0.007543,            0.007543,            0.007543
                 107,            0.094327,             0.16448,            0.023782,             0.46946,             0.35124,               0.346,             0.18758,            0.092252,             0.23472,            0.029819,           0.0075009,           0.0075009,           0.0075009
                 108,            0.094126,             0.16192,            0.023685,             0.46704,             0.35256,             0.34634,             0.18826,            0.092236,             0.23459,            0.029803,           0.0074585,           0.0074585,           0.0074585
                 109,            0.094091,             0.16349,            0.023438,             0.44636,             0.36173,             0.34637,             0.18792,            0.092225,             0.23463,            0.029804,            0.007416,            0.007416,            0.007416
                 110,            0.093977,             0.16378,            0.023679,             0.44611,             0.36269,             0.34515,             0.18691,            0.092231,             0.23483,            0.029815,           0.0073733,           0.0073733,           0.0073733
                 111,            0.093771,             0.16206,            0.023694,             0.45824,             0.35504,             0.34496,             0.18697,            0.092218,             0.23476,            0.029816,           0.0073303,           0.0073303,           0.0073303
                 112,            0.094172,             0.16305,            0.023685,             0.45605,             0.35367,             0.34465,             0.18699,            0.092214,             0.23488,            0.029807,           0.0072872,           0.0072872,           0.0072872
                 113,            0.094154,             0.16449,             0.02369,             0.47108,             0.34945,               0.345,               0.187,            0.092211,             0.23484,            0.029814,           0.0072438,           0.0072438,           0.0072438
                 114,            0.093677,             0.16241,            0.023509,             0.48793,             0.34161,             0.34598,              0.1879,            0.092182,              0.2348,            0.029789,           0.0072003,           0.0072003,           0.0072003
                 115,            0.094173,             0.16232,            0.023512,             0.47858,             0.34683,             0.34622,             0.18855,            0.092157,             0.23485,            0.029767,           0.0071566,           0.0071566,           0.0071566
                 116,            0.094138,             0.16184,            0.023644,             0.47988,             0.34502,             0.34615,             0.18843,            0.092148,             0.23476,            0.029779,           0.0071127,           0.0071127,           0.0071127
                 117,            0.094013,             0.16449,            0.023421,             0.44083,             0.36868,             0.34761,             0.18943,            0.092143,             0.23471,             0.02978,           0.0070686,           0.0070686,           0.0070686
                 118,            0.094055,             0.16235,            0.023375,              0.4726,             0.34953,             0.34646,             0.18922,            0.092136,              0.2348,            0.029778,           0.0070243,           0.0070243,           0.0070243
                 119,            0.094247,             0.16404,            0.023389,             0.48714,             0.34317,             0.34669,             0.18938,            0.092124,             0.23482,            0.029767,           0.0069799,           0.0069799,           0.0069799
                 120,            0.093772,             0.16222,            0.023356,             0.44676,             0.36684,             0.34755,             0.18897,            0.092117,             0.23484,            0.029751,           0.0069353,           0.0069353,           0.0069353
                 121,            0.093687,              0.1632,             0.02337,             0.46394,             0.35452,             0.34635,             0.18864,            0.092106,             0.23478,            0.029747,           0.0068906,           0.0068906,           0.0068906
                 122,            0.094228,             0.16207,            0.023172,             0.45021,             0.36231,             0.34686,             0.18841,             0.09209,              0.2347,            0.029742,           0.0068457,           0.0068457,           0.0068457
                 123,             0.09385,             0.16234,             0.02326,             0.44592,             0.36642,             0.34646,             0.18844,             0.09208,             0.23476,            0.029728,           0.0068006,           0.0068006,           0.0068006
